market_code,forecast_item,date,baseline,item_usage_rule,buckets,intermit,adj_mean,adj_dev,acov,is_forecastable,is_seasonal
HK,HK: 355121,2023-10-01,2. Statistical,Ignore,78,0.0,3199.0,1613.0,0.5042200687714911,True,True
HK,HK: 540452,2023-10-01,2. Statistical,Use,78,0.0,6469.0,2919.0,0.4512289380120575,True,True
HK,HK: 540453,2023-10-01,2. Statistical,Use,78,0.0,2687.0,951.0,0.3539263118719762,True,True
HK,HK: 540454,2023-10-01,1. Manual,Ignore,78,0.16666666666666663,652.0,621.0,0.9524539877300614,False,False
HK,HK: 550423,2023-10-01,1. Manual,Ignore,8,0.6666666666666667,2.0,4.0,2.0,False,False
HK,HK: 634643,2023-10-01,2. Statistical,Use,78,0.0,4874.0,448.0,0.09191629052113254,True,False
HK,HK: 651652,2023-10-01,2. Statistical,Use,78,0.0,3694.0,2795.0,0.7566323768272875,False,False
HK,HK: 652145,2023-10-01,2. Statistical,Use,78,0.0,2519.0,621.0,0.24652639936482731,True,False
HK,HK: 653354,2023-10-01,2. Statistical,Use,78,0.0,510.0,166.0,0.3254901960784314,True,True
HK,HK: 654778,2023-10-01,2. Statistical,Use,78,0.0,6018.0,1367.0,0.22715187770023262,True,True
HK,HK: 664112,2023-10-01,2. Statistical,Use,73,0.0,2296.0,615.0,0.26785714285714285,True,True
HK,HK: 693869,2023-10-01,2. Statistical,Use,78,0.0,7332.0,1277.0,0.17416803055100927,True,True
HK,HK: 693870,2023-10-01,2. Statistical,Use,78,0.0,548.0,204.0,0.3722627737226277,True,False
HK,HK: 704196,2023-10-01,2. Statistical,Use,64,0.0,5089.0,1749.0,0.343682452348202,True,True
HK,HK: 746501,2023-10-01,1. Manual,Ignore,29,0.75,5.0,11.0,2.2,False,False
HK,HK: 746628,2023-10-01,1. Manual,Ignore,55,0.9166666666666666,0.0,0.0,,False,False
HK,HK: 748693,2023-10-01,1. Manual,Ignore,53,0.9166666666666666,0.0,0.0,,False,False
HK,HK: 750996,2023-10-01,2. Statistical,Use,50,0.0,1183.0,325.0,0.27472527472527475,True,False
HK,HK: 761700,2023-10-01,2. Statistical,Use,78,0.0,3013.0,748.0,0.24825755061400598,True,False
HK,HK: 763038,2023-10-01,2. Statistical,Use,42,0.0,4522.0,1171.0,0.2589562140645732,True,False
HK,HK: 774494,2023-10-01,2. Statistical,Use,42,0.0,247.0,91.0,0.3684210526315789,True,False
HK,HK: 774570,2023-10-01,1. Manual,Ignore,12,0.9166666666666666,0.0,0.0,,False,False
HK,HK: 774573,2023-10-01,1. Manual,Ignore,4,0.8333333333333334,1.0,1.0,1.0,False,False
HK,HK: 774578,2023-10-01,1. Manual,Ignore,14,0.8333333333333334,0.0,0.0,,False,False
HK,HK: 774581,2023-10-01,1. Manual,Ignore,4,0.8333333333333334,914.0,2042.0,2.2341356673960613,False,False
HK,HK: 774630,2023-10-01,1. Manual,Ignore,19,0.8333333333333334,1.0,2.0,2.0,False,False
HK,HK: 774631,2023-10-01,1. Manual,Ignore,4,0.9166666666666666,4.0,8.0,2.0,False,False
HK,HK: 774632,2023-10-01,1. Manual,Ignore,32,0.8333333333333334,17.0,55.0,3.235294117647059,False,False
HK,HK: 774634,2023-10-01,1. Manual,Ignore,6,0.8333333333333334,245.0,638.0,2.6040816326530614,False,False
HK,HK: 774636,2023-10-01,1. Manual,Ignore,3,0.8333333333333334,1142.0,2283.0,1.999124343257443,False,False
HK,HK: 774734,2023-10-01,1. Manual,Ignore,8,0.9166666666666666,1.0,3.0,3.0,False,False
HK,HK: 779883,2023-10-01,2. Statistical,Use,78,0.0,4100.0,756.0,0.18439024390243902,True,True
HK,HK: 779884,2023-10-01,2. Statistical,Use,64,0.0,724.0,123.0,0.16988950276243095,True,True
HK,HK: 779885,2023-10-01,2. Statistical,Use,30,0.0,842.0,358.0,0.4251781472684085,True,False
HK,HK: 779887,2023-10-01,1. Manual,Ignore,78,0.0,1100.0,470.0,0.42727272727272725,True,False
HK,HK: 779891,2023-10-01,2. Statistical,Use,78,0.0,6340.0,948.0,0.14952681388012617,True,True
HK,HK: 779893,2023-10-01,2. Statistical,Use,65,0.0,496.0,127.0,0.2560483870967742,True,False
HK,HK: 779894,2023-10-01,2. Statistical,Use,30,0.0,1664.0,435.0,0.2614182692307692,True,False
HK,HK: 779895,2023-10-01,2. Statistical,Use,78,0.0,1808.0,480.0,0.26548672566371684,True,False
HK,HK: 779897,2023-10-01,2. Statistical,Use,66,0.0,559.0,152.0,0.27191413237924866,True,False
HK,HK: 779898,2023-10-01,2. Statistical,Use,78,0.0,2098.0,458.0,0.21830314585319352,True,True
HK,HK: 782539,2023-10-01,2. Statistical,Use,78,0.0,8909.0,1057.0,0.11864406779661017,True,False
HK,HK: 782540,2023-10-01,2. Statistical,Use,78,0.0,3078.0,479.0,0.15562053281351526,True,False
HK,HK: 782541,2023-10-01,2. Statistical,Use,62,0.0,1506.0,294.0,0.1952191235059761,True,False
HK,HK: 782542,2023-10-01,2. Statistical,Use,30,0.0,1289.0,822.0,0.6377036462373933,True,False
HK,HK: 783432,2023-10-01,1. Manual,Ignore,12,0.5833333333333333,325.0,730.0,2.246153846153846,False,False
HK,HK: 783433,2023-10-01,1. Manual,Ignore,3,0.9166666666666666,23.0,46.0,2.0,False,False
HK,HK: 784070,2023-10-01,1. Manual,Ignore,55,0.0,3130.0,4565.0,1.4584664536741214,False,True
HK,HK: 785118,2023-10-01,2. Statistical,Use,30,0.0,3844.0,1014.0,0.26378772112382937,True,True
HK,HK: 785192,2023-10-01,2. Statistical,Use,78,0.0,1292.0,550.0,0.42569659442724456,True,True
HK,HK: 798536,2023-10-01,1. Manual,Ignore,3,0.8333333333333334,1498.0,2863.0,1.911214953271028,False,False
HK,HK: 798537,2023-10-01,1. Manual,Ignore,19,0.0,706.0,487.0,0.6898016997167139,True,False
HK,HK: 798588,2023-10-01,2. Statistical,Use,78,0.0,141.0,31.0,0.2198581560283688,True,False
HK,HK: 805957,2023-10-01,2. Statistical,Use,78,0.0,5421.0,656.0,0.12101088360081166,True,True
HK,HK: 805958,2023-10-01,2. Statistical,Use,78,0.0,6284.0,1053.0,0.16756842775302355,True,True
HK,HK: 845933,2023-10-01,2. Statistical,Use,64,0.0,802.0,195.0,0.243142144638404,True,False
HK,HK: 868973,2023-10-01,2. Statistical,Ignore,78,0.33333333333333337,7837.0,8171.0,1.0426183488579814,False,False
HK,HK: 878578,2023-10-01,1. Manual,Ignore,4,0.8333333333333334,1910.0,2673.0,1.399476439790576,False,False
HK,HK: 881883,2023-10-01,2. Statistical,Use,5,0.5833333333333333,20362.0,3834.0,0.18829191631470385,False,False
HK,HK: 881884,2023-10-01,2. Statistical,Use,78,0.0,9216.0,2662.0,0.2888454861111111,True,True
HK,HK: 881885,2023-10-01,1. Manual,Ignore,78,0.0,6357.0,4183.0,0.6580147868491427,True,False
HK,HK: 888192,2023-10-01,1. Manual,Ignore,4,0.8333333333333334,599.0,1339.0,2.2353923205342237,False,False
HK,HK: 888193,2023-10-01,1. Manual,Ignore,4,0.8333333333333334,599.0,1339.0,2.2353923205342237,False,False
HK,HK: 893243,2023-10-01,1. Manual,Ignore,2,0.8333333333333334,1373.0,1292.0,0.9410050983248361,False,False
HK,HK: 282998,2023-10-01,1. Manual,Ignore,23,,0.0,0.0,,False,False
HK,HK: 323553,2023-10-01,1. Manual,Ignore,78,,0.0,0.0,,False,True
HK,HK: 355491,2023-10-01,1. Manual,Ignore,23,,0.0,0.0,,False,False
HK,HK: 526612,2023-10-01,1. Manual,Ignore,36,,0.0,0.0,,False,False
HK,HK: 534689,2023-10-01,1. Manual,Ignore,27,,0.0,0.0,,False,False
HK,HK: 534965,2023-10-01,1. Manual,Ignore,36,,0.0,0.0,,False,False
HK,HK: 595913,2023-10-01,1. Manual,Ignore,26,,0.0,0.0,,False,False
HK,HK: 596773,2023-10-01,1. Manual,Ignore,27,,0.0,0.0,,False,False
HK,HK: 770453,2023-10-01,1. Manual,Ignore,27,,0.0,0.0,,False,False
HK,HK: 785116,2023-10-01,1. Manual,Ignore,26,,0.0,0.0,,False,False
HK,HK: 797786,2023-10-01,1. Manual,Ignore,34,,0.0,0.0,,False,False
HK,HK: 804098,2023-10-01,1. Manual,Ignore,28,,0.0,0.0,,False,False
