market_code,forecast_item,date,baseline,item_usage_rule,buckets,intermit,adj_mean,adj_dev,acov,is_forecastable,is_seasonal
CN,CN-Dupixent: 763695,2023-10-01,5. Manual and Charitable,Use,39,0.0,42031.0,16204.0,0.3855249696652471,True,False
CN,CN-Dupixent: 787777,2023-10-01,1. Manual,Use,21,0.0,1851.0,876.0,0.473257698541329,True,False
CA,CA: 415076,2023-10-01,2. Statistical,Ignore,69,0.33333333333333337,223.0,346.0,1.5515695067264574,False,True
CA,CA: 415079,2023-10-01,2. Statistical,Use,69,0.0,4321.0,2380.0,0.5507984262902106,True,True
CA,CA: 415089,2023-10-01,2. Statistical,Ignore,69,0.25,558.0,508.0,0.910394265232975,False,False
CA,CA: 415094,2023-10-01,2. Statistical,Use,69,0.25,4086.0,4329.0,1.0594713656387664,False,True
CA,CA: 415660,2023-10-01,2. Statistical,Use,69,0.0,1923.0,1658.0,0.8621944877795111,False,True
CA,CA: 415664,2023-10-01,1. Manual,Ignore,69,0.16666666666666663,953.0,785.0,0.8237145855194123,False,True
CA,CA: 415671,2023-10-01,2. Statistical,Use,69,0.25,8420.0,5820.0,0.6912114014251781,True,True
CA,CA: 415910,2023-10-01,1. Manual,Use,69,0.0,12908.0,10388.0,0.8047722342733189,False,False
CA,CA: 415911,2023-10-01,2. Statistical,Use,69,0.08333333333333337,11540.0,7113.0,0.6163778162911612,True,True
CA,CA: 415913,2023-10-01,2. Statistical,Use,69,0.33333333333333337,7196.0,7250.0,1.0075041689827682,False,False
CA,CA: 416758,2023-10-01,2. Statistical,Use,69,0.0,7645.0,3478.0,0.4549378678875082,True,False
CA,CA: 417057,2023-10-01,2. Statistical,Use,69,0.0,7829.0,942.0,0.12032188018904075,True,True
CA,CA: 417059,2023-10-01,2. Statistical,Use,69,0.0,3494.0,995.0,0.28477389811104753,True,False
CA,CA: 417197,2023-10-01,2. Statistical,Ignore,69,0.16666666666666663,1241.0,897.0,0.7228041901692184,False,False
CA,CA: 417198,2023-10-01,2. Statistical,Use,69,0.0,1686.0,752.0,0.4460260972716489,True,True
CA,CA: 621336,2023-10-01,2. Statistical,Use,69,0.16666666666666663,4048.0,6198.0,1.5311264822134387,False,False
CA,CA: 651995,2023-10-01,2. Statistical,Ignore,69,0.41666666666666663,313.0,408.0,1.3035143769968052,False,False
CA,CA: 652074,2023-10-01,2. Statistical,Use,69,0.0,428.0,180.0,0.4205607476635514,True,False
CA,CA: 652079,2023-10-01,2. Statistical,Use,69,0.25,4815.0,4550.0,0.944963655244029,False,False
CA,CA: 652082,2023-10-01,2. Statistical,Use,69,0.0,20996.0,10176.0,0.48466374547532864,True,True
CA,CA: 662312,2023-10-01,2. Statistical,Use,69,0.0,1822.0,842.0,0.4621295279912184,True,True
CA,CA: 699453,2023-10-01,2. Statistical,Use,62,0.0,7980.0,3329.0,0.41716791979949874,True,True
CA,CA: 723782,2023-10-01,2. Statistical,Use,19,0.0,8735.0,3566.0,0.40824270177447053,True,False
CA,CA: 756237,2023-10-01,1. Manual,Ignore,69,0.9166666666666666,14.0,46.0,3.2857142857142856,False,True
CA,CA: 756251,2023-10-01,2. Statistical,Use,69,0.0,16899.0,6965.0,0.412154565358897,True,False
CA,CA: 756252,2023-10-01,2. Statistical,Use,69,0.33333333333333337,26015.0,25687.0,0.9873918892946377,False,False
CA,CA: 756262,2023-10-01,2. Statistical,Use,69,0.16666666666666663,35604.0,33605.0,0.9438546230760588,False,True
CA,CA: 756263,2023-10-01,2. Statistical,Use,69,0.0,14477.0,4272.0,0.2950887614837328,True,True
CA,CA: 759598,2023-10-01,2. Statistical,Use,69,0.0,14759.0,3530.0,0.23917609594145944,True,False
CA,CA: 759603,2023-10-01,2. Statistical,Use,69,0.0,40162.0,12641.0,0.3147502614411633,True,False
CA,CA: 759604,2023-10-01,1. Manual,Ignore,69,0.0,4575.0,1286.0,0.2810928961748634,True,False
CA,CA: 759605,2023-10-01,2. Statistical,Use,69,0.0,4072.0,1357.0,0.3332514734774067,True,False
CA,CA: 759606,2023-10-01,2. Statistical,Use,68,0.0,9516.0,3367.0,0.35382513661202186,True,False
CA,CA: 759611,2023-10-01,2. Statistical,Use,34,0.16666666666666663,6904.0,3753.0,0.5435979142526072,True,True
CA,CA: 760174,2023-10-01,2. Statistical,Use,69,0.08333333333333337,11188.0,5382.0,0.48105112620664997,True,False
CA,CA: 760289,2023-10-01,2. Statistical,Use,69,0.0,7672.0,2098.0,0.2734619395203337,True,True
CA,CA: 760621,2023-10-01,1. Manual,Ignore,69,0.0,5986.0,1818.0,0.3037086535248914,True,True
CA,CA: 760724,2023-10-01,1. Manual,Ignore,69,0.25,988.0,914.0,0.9251012145748988,False,False
CA,CA: 761189,2023-10-01,2. Statistical,Use,69,0.0,9084.0,2344.0,0.25803610744165567,True,True
CA,CA: 762487,2023-10-01,2. Statistical,Use,69,0.16666666666666663,6040.0,4962.0,0.821523178807947,False,True
CA,CA: 762590,2023-10-01,2. Statistical,Use,69,0.0,9063.0,2303.0,0.2541101180624517,True,True
CA,CA: 762591,2023-10-01,2. Statistical,Ignore,69,0.5833333333333333,2282.0,4569.0,2.002191060473269,False,True
CA,CA: 765073,2023-10-01,2. Statistical,Use,69,0.0,15341.0,3886.0,0.2533081285444234,True,False
CA,CA: 765746,2023-10-01,2. Statistical,Use,69,0.0,12888.0,7260.0,0.5633147113594041,True,True
CA,CA: 773037,2023-10-01,2. Statistical,Use,33,0.16666666666666663,4172.0,3035.0,0.7274688398849473,False,True
CA,CA: 773040,2023-10-01,2. Statistical,Use,33,0.0,4780.0,2371.0,0.4960251046025105,True,False
CA,CA: 773677,2023-10-01,2. Statistical,Use,36,0.0,3583.0,1581.0,0.4412503488696623,True,True
CA,CA: 773902,2023-10-01,1. Manual,Ignore,38,0.0,1930.0,4211.0,2.1818652849740934,False,False
CA,CA: 793592,2023-10-01,1. Manual,Ignore,29,0.0,22636.0,11412.0,0.5041526771514402,True,False
CA,CA: 795561,2023-10-01,2. Statistical,Use,25,0.0,4265.0,1822.0,0.4271981242672919,True,False
CA,CA: 795562,2023-10-01,1. Manual,Ignore,25,0.33333333333333337,1033.0,1124.0,1.0880929332042595,False,False
CA,CA: 796820,2023-10-01,1. Manual,Ignore,20,0.0,6993.0,3237.0,0.4628914628914629,True,False
CA,CA: 810244,2023-10-01,2. Statistical,Use,69,0.08333333333333337,4256.0,3485.0,0.8188439849624061,False,False
CA,CA: 819746,2023-10-01,1. Manual,Ignore,9,0.25,5399.0,5889.0,1.0907575476940174,False,False
CA,CA: 822479,2023-10-01,1. Manual,Ignore,5,0.5833333333333333,9514.0,7716.0,0.8110153458061804,False,False
CA,CA: 823204,2023-10-01,1. Manual,Ignore,69,0.8333333333333334,2467.0,4513.0,1.8293473854884474,False,False
CA,CA: 823205,2023-10-01,1. Manual,Ignore,69,0.75,3514.0,5097.0,1.4504837791690381,False,False
CA,CA: 823398,2023-10-01,1. Manual,Ignore,21,0.0,4674.0,1901.0,0.40671801454856654,True,False
CA,CA: 825610,2023-10-01,1. Manual,Ignore,19,0.08333333333333337,2302.0,1831.0,0.7953953084274544,False,False
CA,CA: 826963,2023-10-01,1. Manual,Ignore,15,0.08333333333333337,3609.0,2410.0,0.6677750069271267,True,False
CA,CA: 826964,2023-10-01,1. Manual,Ignore,14,0.0,774.0,577.0,0.7454780361757106,False,False
CA,CA: 827343,2023-10-01,1. Manual,Ignore,17,0.08333333333333337,3430.0,2005.0,0.5845481049562682,True,False
CA,CA: 827958,2023-10-01,1. Manual,Ignore,20,0.08333333333333337,1528.0,1154.0,0.7552356020942408,False,False
CA,CA: 828459,2023-10-01,2. Statistical,Use,69,0.0,4522.0,2236.0,0.49447147279964615,True,True
CA,CA: 828460,2023-10-01,2. Statistical,Use,69,0.0,5866.0,2878.0,0.49062393453801567,True,False
CA,CA: 828461,2023-10-01,2. Statistical,Use,69,0.25,9499.0,5891.0,0.6201705442678177,True,True
CA,CA: 828755,2023-10-01,2. Statistical,Use,69,0.5,375.0,435.0,1.16,False,False
CA,CA: 832910,2023-10-01,1. Manual,Ignore,19,0.25,216.0,305.0,1.412037037037037,False,False
CA,CA: 833104,2023-10-01,1. Manual,Ignore,13,0.6666666666666667,79.0,246.0,3.1139240506329116,False,False
CA,CA: 833107,2023-10-01,1. Manual,Ignore,13,0.75,69.0,201.0,2.9130434782608696,False,False
CA,CA: 833525,2023-10-01,2. Statistical,Use,69,0.25,2229.0,2118.0,0.9502018842530283,False,True
CA,CA: 833527,2023-10-01,2. Statistical,Use,39,0.0,1788.0,519.0,0.2902684563758389,True,False
CA,CA: 835248,2023-10-01,2. Statistical,Use,69,0.08333333333333337,7031.0,2219.0,0.31560233252737874,True,True
