market_code,forecast_item,date,baseline,item_usage_rule,buckets,intermit,adj_mean,adj_dev,acov,is_forecastable,is_seasonal
BR,BR: 120878,2023-10-01,2. Statistical,Use,67,0.0,130922.0,67125.0,0.5127098577779136,True,True
BR,BR: 244250,2023-10-01,2. Statistical,Use,67,0.0,405993.0,204608.0,0.5039692802585266,True,True
BR,BR: 252762,2023-10-01,1. Manual,Ignore,67,0.75,3964.0,12388.0,3.1251261352169526,False,True
BR,BR: 252763,2023-10-01,1. Manual,Ignore,67,0.8333333333333334,2128.0,7058.0,3.316729323308271,False,True
BR,BR: 259897,2023-10-01,1. Manual,Ignore,67,0.75,1450.0,4556.0,3.1420689655172414,False,False
BR,BR: 260487,2023-10-01,1. Manual,Ignore,67,0.5,62562.0,122885.0,1.9642115021898277,False,False
BR,BR: 307443,2023-10-01,2. Statistical,Use,67,0.0,24393.0,11996.0,0.49178042881154427,True,True
BR,BR: 307444,2023-10-01,2. Statistical,Use,67,0.0,14074.0,6880.0,0.4888446781298849,True,False
BR,BR: 314388,2023-10-01,2. Statistical,Use,67,0.0,248268.0,197596.0,0.7958979812138496,False,True
BR,BR: 332728,2023-10-01,1. Manual,Ignore,67,0.8333333333333334,12787.0,28597.0,2.23641198091812,False,False
BR,BR: 333533,2023-10-01,2. Statistical,Use,67,0.0,118940.0,52403.0,0.4405834874726753,True,False
BR,BR: 333534,2023-10-01,2. Statistical,Use,67,0.0,2055.0,980.0,0.4768856447688564,True,False
BR,BR: 367118,2023-10-01,1. Manual,Ignore,67,0.75,30050.0,58264.0,1.938901830282862,False,True
BR,BR: 416426,2023-10-01,1. Manual,Ignore,67,0.8333333333333334,6534.0,14611.0,2.236149372513009,False,False
BR,BR: 416427,2023-10-01,1. Manual,Ignore,67,0.9166666666666666,3263.0,10822.0,3.316579834508121,False,False
BR,BR: 416428,2023-10-01,1. Manual,Ignore,67,0.9166666666666666,3269.0,10842.0,3.316610584276537,False,False
BR,BR: 478711,2023-10-01,1. Manual,Ignore,67,0.5,8810.0,12265.0,1.3921679909194098,False,False
BR,BR: 478712,2023-10-01,2. Statistical,Use,67,0.5,3308.0,4267.0,1.2899032648125757,False,False
BR,BR: 519436,2023-10-01,2. Statistical,Use,67,0.33333333333333337,16651.0,16394.0,0.9845654915620683,False,True
BR,BR: 545318,2023-10-01,2. Statistical,Use,65,0.08333333333333337,142806.0,96969.0,0.6790260913407,True,False
BR,BR: 549502,2023-10-01,2. Statistical,Use,67,0.0,10932.0,5608.0,0.5129893889498719,True,True
BR,BR: 560176,2023-10-01,2. Statistical,Use,67,0.0,28432.0,13092.0,0.4604670793472144,True,True
BR,BR: 560180,2023-10-01,2. Statistical,Use,67,0.0,59338.0,23915.0,0.4030300987562776,True,True
BR,BR: 560189,2023-10-01,2. Statistical,Use,67,0.0,89040.0,37642.0,0.4227538185085355,True,True
BR,BR: 560191,2023-10-01,2. Statistical,Use,67,0.16666666666666663,4721.0,5012.0,1.0616394831603473,False,False
BR,BR: 560197,2023-10-01,2. Statistical,Use,67,0.0,24356.0,12401.0,0.5091558548201676,True,False
BR,BR: 560203,2023-10-01,2. Statistical,Use,67,0.0,40650.0,14421.0,0.354760147601476,True,True
BR,BR: 566592,2023-10-01,1. Manual,Ignore,67,0.9166666666666666,0.0,0.0,,False,False
BR,BR: 57708,2023-10-01,2. Statistical,Use,67,0.0,48344.0,25741.0,0.5324549065033923,True,True
BR,BR: 597997,2023-10-01,1. Manual,Ignore,67,0.8333333333333334,28322.0,63479.0,2.2413318268483864,False,False
BR,BR: 601307,2023-10-01,2. Statistical,Use,67,0.0,224768.0,109287.0,0.48622134823462415,True,True
BR,BR: 61488,2023-10-01,2. Statistical,Use,67,0.0,102808.0,84699.0,0.8238561201462922,False,True
BR,BR: 61490,2023-10-01,2. Statistical,Use,67,0.0,645.0,430.0,0.6666666666666666,True,True
BR,BR: 619108,2023-10-01,2. Statistical,Use,67,0.0,1024843.0,508390.0,0.49606622672936246,True,True
BR,BR: 637520,2023-10-01,1. Manual,Ignore,67,0.9166666666666666,0.0,0.0,,False,True
BR,BR: 641426,2023-10-01,1. Manual,Ignore,66,0.25,3408.0,3665.0,1.0754107981220657,False,False
BR,BR: 659494,2023-10-01,1. Manual,Ignore,67,0.8333333333333334,165.0,547.0,3.315151515151515,False,False
BR,BR: 659496,2023-10-01,1. Manual,Ignore,66,0.9166666666666666,0.0,0.0,,False,False
BR,BR: 659858,2023-10-01,2. Statistical,Use,67,0.0,56594.0,29469.0,0.520708909071633,True,True
BR,BR: 659859,2023-10-01,2. Statistical,Use,67,0.08333333333333337,81772.0,74798.0,0.9147140830602162,False,True
BR,BR: 659862,2023-10-01,2. Statistical,Use,67,0.0,89460.0,49576.0,0.5541694612117147,True,True
BR,BR: 668455,2023-10-01,2. Statistical,Use,66,0.0,37359.0,21581.0,0.5776653550683905,True,True
BR,BR: 668456,2023-10-01,2. Statistical,Use,67,0.0,4370.0,2335.0,0.534324942791762,True,True
BR,BR: 668458,2023-10-01,2. Statistical,Use,67,0.0,567802.0,272317.0,0.4795985220199999,True,False
BR,BR: 668459,2023-10-01,2. Statistical,Use,66,0.0,7224.0,5232.0,0.7242524916943521,False,False
BR,BR: 674293,2023-10-01,2. Statistical,Use,67,0.25,680.0,805.0,1.1838235294117647,False,True
BR,BR: 688143,2023-10-01,2. Statistical,Use,75,0.08333333333333337,20496.0,12264.0,0.5983606557377049,True,False
BR,BR: 688147,2023-10-01,2. Statistical,Use,64,0.0,2873.0,2447.0,0.8517229376957883,False,False
BR,BR: 688148,2023-10-01,2. Statistical,Use,77,0.0,57874.0,29752.0,0.514082316757093,True,False
BR,BR: 688150,2023-10-01,2. Statistical,Use,67,0.16666666666666663,5535.0,4606.0,0.8321589882565492,False,True
BR,BR: 713546,2023-10-01,2. Statistical,Use,62,0.0,273063.0,139016.0,0.5090986329162135,True,False
BR,BR: 715537,2023-10-01,2. Statistical,Use,65,0.0,232693.0,102198.0,0.43919670982797077,True,True
