market_code,forecast_item,date,baseline,item_usage_rule,buckets,intermit,adj_mean,adj_dev,acov,is_forecastable,is_seasonal
DT,DT: 189002,2023-10-01,1. Manual,Ignore,6,0.5,314.0,209.0,0.6656050955414012,False,False
DT,DT: 189011,2023-10-01,1. Manual,Ignore,6,0.5,3839.0,3100.0,0.8075019536337588,False,False
DT,DT: 189024,2023-10-01,1. Manual,Ignore,6,0.5,468.0,256.0,0.5470085470085471,False,False
DT,DT: 312027,2023-10-01,1. Manual,Ignore,6,0.5833333333333333,116183.0,77952.0,0.6709415318936506,False,False
DT,DT: 592439,2023-10-01,1. Manual,Ignore,6,0.6666666666666667,7.0,7.0,1.0,False,False
DT,DT: 62304,2023-10-01,1. Manual,Ignore,6,0.5,1331.0,931.0,0.6994740796393689,False,False
DT,DT: 62721,2023-10-01,1. Manual,Ignore,6,0.5833333333333333,3395.0,3537.0,1.0418262150220914,False,False
DT,DT: 648448,2023-10-01,1. Manual,Ignore,6,0.5833333333333333,14184.0,10156.0,0.7160180485053581,False,False
DT,DT: 64867,2023-10-01,1. Manual,Ignore,6,0.5,1912.0,1410.0,0.7374476987447699,False,False
DT,DT: 651617,2023-10-01,1. Manual,Ignore,6,0.5833333333333333,1603.0,1172.0,0.7311291328758578,False,False
DT,DT: 722525,2023-10-01,1. Manual,Ignore,6,0.5833333333333333,23939.0,21283.0,0.8890513388194996,False,False
DT,DT: 790922,2023-10-01,1. Manual,Ignore,6,0.5,639.0,403.0,0.6306729264475743,False,False
DT,DT: 860631,2023-10-01,1. Manual,Ignore,6,0.5,2094.0,2141.0,1.0224450811843362,False,False
DT,DT: 865317,2023-10-01,1. Manual,Ignore,6,0.5833333333333333,62.0,75.0,1.2096774193548387,False,False
ES,ES_ESAD_DC_Leganes: 193323,2023-10-01,2. Statistical,Use,30,0.0,3914.0,1636.0,0.4179867143587123,True,False
ES,ES_ESAD_DC_Leganes: 387834,2023-10-01,1. Manual,Use,49,0.0,90913.0,14718.0,0.16189103868533652,True,True
ES,ES_ESAD_DC_Leganes: 524463,2023-10-01,2. Statistical,Use,29,0.0,11657.0,2858.0,0.24517457321780906,True,False
ES,ES_ESAD_DC_Leganes: 535766,2023-10-01,1. Manual,Ignore,58,0.25,24949.0,31968.0,1.2813339211992465,False,True
ES,ES_ESAD_DC_Leganes: 651728,2023-10-01,1. Manual,Ignore,58,0.08333333333333337,5114.0,6295.0,1.230934689088776,False,False
ES,ES_ESAD_DC_Leganes: 651729,2023-10-01,1. Manual,Ignore,58,0.5833333333333333,4898.0,9855.0,2.012045732952225,False,False
ES,ES_ESAD_DC_Leganes: 651881,2023-10-01,1. Manual,Ignore,58,0.08333333333333337,38413.0,45153.0,1.1754614323275974,False,True
ES,ES_ESAD_DC_Leganes: 651931,2023-10-01,1. Manual,Ignore,58,0.33333333333333337,19722.0,26802.0,1.3589899604502587,False,False
ES,ES_ESAD_DC_Leganes: 651939,2023-10-01,1. Manual,Use,58,0.0,111325.0,19599.0,0.176052099708062,True,True
ES,ES_ESAD_DC_Leganes: 652072,2023-10-01,1. Manual,Use,58,0.0,15761.0,3698.0,0.23462978237421483,True,True
ES,ES_ESAD_DC_Leganes: 652136,2023-10-01,1. Manual,Use,58,0.0,1131.0,171.0,0.15119363395225463,True,True
ES,ES_ESAD_DC_Leganes: 652194,2023-10-01,1. Manual,Use,58,0.0,2227.0,537.0,0.24113156713066905,True,True
ES,ES_ESAD_DC_Leganes: 652243,2023-10-01,1. Manual,Ignore,58,0.25,12232.0,11684.0,0.9551994767822106,False,False
ES,ES_ESAD_DC_Leganes: 652253,2023-10-01,1. Manual,Use,58,0.0,28587.0,15432.0,0.5398257949417568,True,True
ES,ES_ESAD_DC_Leganes: 652255,2023-10-01,1. Manual,Use,58,0.0,7139.0,3531.0,0.4946070878274268,True,False
ES,ES_ESAD_DC_Leganes: 652371,2023-10-01,1. Manual,Ignore,58,0.6666666666666667,228.0,490.0,2.1491228070175437,False,False
ES,ES_ESAD_DC_Leganes: 652397,2023-10-01,1. Manual,Use,54,0.0,11675.0,5294.0,0.4534475374732334,True,True
ES,ES_ESAD_DC_Leganes: 652545,2023-10-01,1. Manual,Ignore,58,0.8333333333333334,39.0,119.0,3.051282051282051,False,False
ES,ES_ESAD_DC_Leganes: 652659,2023-10-01,1. Manual,Ignore,58,0.9166666666666666,0.0,0.0,,False,True
ES,ES_ESAD_DC_Leganes: 653119,2023-10-01,1. Manual,Ignore,58,0.5,919.0,1511.0,1.6441784548422198,False,True
ES,ES_ESAD_DC_Leganes: 653192,2023-10-01,1. Manual,Ignore,58,0.5,1026.0,1302.0,1.2690058479532165,False,True
ES,ES_ESAD_DC_Leganes: 666595,2023-10-01,1. Manual,Ignore,58,0.5,69.0,135.0,1.9565217391304348,False,False
ES,ES_ESAD_DC_Leganes: 666596,2023-10-01,1. Manual,Use,58,0.0,2282.0,1526.0,0.6687116564417178,True,True
ES,ES_ESAD_DC_Leganes: 679978,2023-10-01,1. Manual,Ignore,37,0.9166666666666666,0.0,0.0,,False,False
